date	time	pop	run	rep	n_egg
day2-21-04-2022	8am	anc	1	R1	207
day2-21-04-2022	8am	anc	1	R2	174
day2-21-04-2022	8am	anc	1	R3	170
day2-21-04-2022	8am	anc	1	R4	344
day2-21-04-2022	8am	anc	1	R5	158
day2-21-04-2022	8am	anc	2	R1	217
day2-21-04-2022	8am	anc	2	R2	235
day2-21-04-2022	8am	anc	2	R3	279
day2-21-04-2022	8am	anc	2	R4	240
day2-21-04-2022	8am	anc	2	R5	188
day2-21-04-2022	8am	cold	1	R1	228
day2-21-04-2022	8am	cold	1	R2	394
day2-21-04-2022	8am	cold	1	R3	370
day2-21-04-2022	8am	cold	1	R4	321
day2-21-04-2022	8am	cold	1	R5	279
day2-21-04-2022	8am	cold	2	R1	395
day2-21-04-2022	8am	cold	2	R2	270
day2-21-04-2022	8am	cold	2	R3	308
day2-21-04-2022	8am	cold	2	R4	211
day2-21-04-2022	8am	cold	2	R5	296
day2-21-04-2022	8am	constant	1	R1	399
day2-21-04-2022	8am	constant	1	R2	153
day2-21-04-2022	8am	constant	1	R3	167
day2-21-04-2022	8am	constant	1	R4	164
day2-21-04-2022	8am	constant	1	R5	472
day2-21-04-2022	8am	constant	2	R1	295
day2-21-04-2022	8am	constant	2	R2	109
day2-21-04-2022	8am	constant	2	R3	254
day2-21-04-2022	8am	constant	2	R4	138
day2-21-04-2022	8am	constant	2	R5	288
day2-21-04-2022	8am	wave2	1	R1	534
day2-21-04-2022	8am	wave2	1	R2	197
day2-21-04-2022	8am	wave2	1	R3	415
day2-21-04-2022	8am	wave2	1	R4	377
day2-21-04-2022	8am	wave2	1	R5	248
day2-21-04-2022	8am	wave2	2	R1	358
day2-21-04-2022	8am	wave2	2	R2	271
day2-21-04-2022	8am	wave2	2	R3	402
day2-21-04-2022	8am	wave2	2	R4	214
day2-21-04-2022	8am	wave2	2	R5	260
day3-22-04-2022	8am	anc	1	R1	104
day3-22-04-2022	8am	anc	1	R2	50
day3-22-04-2022	8am	anc	1	R3	26
day3-22-04-2022	8am	anc	1	R4	94
day3-22-04-2022	8am	anc	1	R5	79
day3-22-04-2022	8am	anc	2	R1	66
day3-22-04-2022	8am	anc	2	R2	51
day3-22-04-2022	8am	anc	2	R3	86
day3-22-04-2022	8am	anc	2	R4	105
day3-22-04-2022	8am	anc	2	R5	39
day3-22-04-2022	8am	cold	1	R1	38
day3-22-04-2022	8am	cold	1	R2	125
day3-22-04-2022	8am	cold	1	R3	164
day3-22-04-2022	8am	cold	1	R4	93
day3-22-04-2022	8am	cold	1	R5	162
day3-22-04-2022	8am	cold	2	R1	66
day3-22-04-2022	8am	cold	2	R2	205
day3-22-04-2022	8am	cold	2	R3	119
day3-22-04-2022	8am	cold	2	R4	69
day3-22-04-2022	8am	cold	2	R5	120
day3-22-04-2022	8am	constant	1	R1	270
day3-22-04-2022	8am	constant	1	R2	90
day3-22-04-2022	8am	constant	1	R3	140
day3-22-04-2022	8am	constant	1	R4	104
day3-22-04-2022	8am	constant	1	R5	254
day3-22-04-2022	8am	constant	2	R1	204
day3-22-04-2022	8am	constant	2	R2	169
day3-22-04-2022	8am	constant	2	R3	156
day3-22-04-2022	8am	constant	2	R4	178
day3-22-04-2022	8am	constant	2	R5	286
day3-22-04-2022	8am	wave2	1	R1	92
day3-22-04-2022	8am	wave2	1	R2	78
day3-22-04-2022	8am	wave2	1	R3	228
day3-22-04-2022	8am	wave2	1	R4	36
day3-22-04-2022	8am	wave2	1	R5	85
day3-22-04-2022	8am	wave2	2	R1	62
day3-22-04-2022	8am	wave2	2	R2	116
day3-22-04-2022	8am	wave2	2	R3	144
day3-22-04-2022	8am	wave2	2	R4	90
day3-22-04-2022	8am	wave2	2	R5	62
day4-23-04-2022	8am	anc	1	R1	189
day4-23-04-2022	8am	anc	1	R2	123
day4-23-04-2022	8am	anc	1	R3	170
day4-23-04-2022	8am	anc	1	R4	215
day4-23-04-2022	8am	anc	1	R5	176
day4-23-04-2022	8am	anc	2	R1	172
day4-23-04-2022	8am	anc	2	R2	139
day4-23-04-2022	8am	anc	2	R3	186
day4-23-04-2022	8am	anc	2	R4	173
day4-23-04-2022	8am	anc	2	R5	102
day4-23-04-2022	8am	cold	1	R1	116
day4-23-04-2022	8am	cold	1	R2	227
day4-23-04-2022	8am	cold	1	R3	182
day4-23-04-2022	8am	cold	1	R4	153
day4-23-04-2022	8am	cold	1	R5	283
day4-23-04-2022	8am	cold	2	R1	168
day4-23-04-2022	8am	cold	2	R2	190
day4-23-04-2022	8am	cold	2	R3	228
day4-23-04-2022	8am	cold	2	R4	275
day4-23-04-2022	8am	cold	2	R5	134
day4-23-04-2022	8am	constant	1	R1	211
day4-23-04-2022	8am	constant	1	R2	174
day4-23-04-2022	8am	constant	1	R3	185
day4-23-04-2022	8am	constant	1	R4	264
day4-23-04-2022	8am	constant	1	R5	246
day4-23-04-2022	8am	constant	2	R1	219
day4-23-04-2022	8am	constant	2	R2	208
day4-23-04-2022	8am	constant	2	R3	189
day4-23-04-2022	8am	constant	2	R4	138
day4-23-04-2022	8am	constant	2	R5	135
day4-23-04-2022	8am	wave2	1	R1	177
day4-23-04-2022	8am	wave2	1	R2	147
day4-23-04-2022	8am	wave2	1	R3	283
day4-23-04-2022	8am	wave2	1	R4	134
day4-23-04-2022	8am	wave2	1	R5	305
day4-23-04-2022	8am	wave2	2	R1	207
day4-23-04-2022	8am	wave2	2	R2	292
day4-23-04-2022	8am	wave2	2	R3	141
day4-23-04-2022	8am	wave2	2	R4	132
day4-23-04-2022	8am	wave2	2	R5	199
day5-24-04-2022	8am	anc	1	R1	152
day5-24-04-2022	8am	anc	1	R2	86
day5-24-04-2022	8am	anc	1	R3	158
day5-24-04-2022	8am	anc	1	R4	265
day5-24-04-2022	8am	anc	1	R5	99
day5-24-04-2022	8am	anc	2	R1	116
day5-24-04-2022	8am	anc	2	R2	196
day5-24-04-2022	8am	anc	2	R3	214
day5-24-04-2022	8am	anc	2	R4	198
day5-24-04-2022	8am	anc	2	R5	108
day5-24-04-2022	8am	cold	1	R1	182
day5-24-04-2022	8am	cold	1	R2	189
day5-24-04-2022	8am	cold	1	R3	255
day5-24-04-2022	8am	cold	1	R4	252
day5-24-04-2022	8am	cold	1	R5	195
day5-24-04-2022	8am	cold	2	R1	95
day5-24-04-2022	8am	cold	2	R2	291
day5-24-04-2022	8am	cold	2	R3	410
day5-24-04-2022	8am	cold	2	R4	203
day5-24-04-2022	8am	cold	2	R5	213
day5-24-04-2022	8am	constant	1	R1	271
day5-24-04-2022	8am	constant	1	R2	181
day5-24-04-2022	8am	constant	1	R3	139
day5-24-04-2022	8am	constant	1	R4	217
day5-24-04-2022	8am	constant	1	R5	270
day5-24-04-2022	8am	constant	2	R1	241
day5-24-04-2022	8am	constant	2	R2	222
day5-24-04-2022	8am	constant	2	R3	180
day5-24-04-2022	8am	constant	2	R4	202
day5-24-04-2022	8am	constant	2	R5	176
day5-24-04-2022	8am	wave2	1	R1	208
day5-24-04-2022	8am	wave2	1	R2	92
day5-24-04-2022	8am	wave2	1	R3	286
