num_snp	ispleiotropy	set	envir	pop	seed
10000	pleio	1	fluc	p1	4711
10000	pleio	1	fluc	p2	4712
10000	pleio	1	fluc	p3	4713
10000	pleio	1	fluc	p4	4714
10000	pleio	1	fluc	p5	4715
10000	pleio	1	cons	p6	4716
10000	pleio	1	cons	p7	4717
10000	pleio	1	cons	p8	4718
10000	pleio	1	cons	p9	4719
10000	pleio	1	cons	p10	4720
10000	pleio	2	fluc	p1	4721
10000	pleio	2	fluc	p2	4722
10000	pleio	2	fluc	p3	4723
10000	pleio	2	fluc	p4	4724
10000	pleio	2	fluc	p5	4725
10000	pleio	2	cons	p6	4726
10000	pleio	2	cons	p7	4727
10000	pleio	2	cons	p8	4728
10000	pleio	2	cons	p9	4729
10000	pleio	2	cons	p10	4730
10000	pleio	3	fluc	p1	4731
10000	pleio	3	fluc	p2	4732
10000	pleio	3	fluc	p3	4733
10000	pleio	3	fluc	p4	4734
10000	pleio	3	fluc	p5	4735
10000	pleio	3	cons	p6	4736
10000	pleio	3	cons	p7	4737
10000	pleio	3	cons	p8	4738
10000	pleio	3	cons	p9	4739
10000	pleio	3	cons	p10	4740
10000	pleio	4	fluc	p1	4741
10000	pleio	4	fluc	p2	4742
10000	pleio	4	fluc	p3	4743
10000	pleio	4	fluc	p4	4744
10000	pleio	4	fluc	p5	4745
10000	pleio	4	cons	p6	4746
10000	pleio	4	cons	p7	4747
10000	pleio	4	cons	p8	4748
10000	pleio	4	cons	p9	4749
10000	pleio	4	cons	p10	4750
10000	pleio	5	fluc	p1	4751
10000	pleio	5	fluc	p2	4752
10000	pleio	5	fluc	p3	4753
10000	pleio	5	fluc	p4	4754
10000	pleio	5	fluc	p5	4755
10000	pleio	5	cons	p6	4756
10000	pleio	5	cons	p7	4757
10000	pleio	5	cons	p8	4758
10000	pleio	5	cons	p9	4759
10000	pleio	5	cons	p10	4760
10000	pleio	6	fluc	p1	4761
10000	pleio	6	fluc	p2	4762
10000	pleio	6	fluc	p3	4763
10000	pleio	6	fluc	p4	4764
10000	pleio	6	fluc	p5	4765
10000	pleio	6	cons	p6	4766
10000	pleio	6	cons	p7	4767
10000	pleio	6	cons	p8	4768
10000	pleio	6	cons	p9	4769
10000	pleio	6	cons	p10	4770
10000	pleio	7	fluc	p1	4771
10000	pleio	7	fluc	p2	4772
10000	pleio	7	fluc	p3	4773
10000	pleio	7	fluc	p4	4774
10000	pleio	7	fluc	p5	4775
10000	pleio	7	cons	p6	4776
10000	pleio	7	cons	p7	4777
10000	pleio	7	cons	p8	4778
10000	pleio	7	cons	p9	4779
10000	pleio	7	cons	p10	4780
10000	pleio	8	fluc	p1	4781
10000	pleio	8	fluc	p2	4782
10000	pleio	8	fluc	p3	4783
10000	pleio	8	fluc	p4	4784
10000	pleio	8	fluc	p5	4785
10000	pleio	8	cons	p6	4786
10000	pleio	8	cons	p7	4787
10000	pleio	8	cons	p8	4788
10000	pleio	8	cons	p9	4789
10000	pleio	8	cons	p10	4790
10000	pleio	9	fluc	p1	4791
10000	pleio	9	fluc	p2	4792
10000	pleio	9	fluc	p3	4793
10000	pleio	9	fluc	p4	4794
10000	pleio	9	fluc	p5	4795
10000	pleio	9	cons	p6	4796
10000	pleio	9	cons	p7	4797
10000	pleio	9	cons	p8	4798
10000	pleio	9	cons	p9	4799
10000	pleio	9	cons	p10	4800
10000	pleio	10	fluc	p1	4801
10000	pleio	10	fluc	p2	4802
10000	pleio	10	fluc	p3	4803
10000	pleio	10	fluc	p4	4804
10000	pleio	10	fluc	p5	4805
10000	pleio	10	cons	p6	4806
10000	pleio	10	cons	p7	4807
10000	pleio	10	cons	p8	4808
10000	pleio	10	cons	p9	4809
10000	pleio	10	cons	p10	4810
10000	pleio	11	fluc	p1	4811
10000	pleio	11	fluc	p2	4812
10000	pleio	11	fluc	p3	4813
10000	pleio	11	fluc	p4	4814
10000	pleio	11	fluc	p5	4815
10000	pleio	11	cons	p6	4816
10000	pleio	11	cons	p7	4817
10000	pleio	11	cons	p8	4818
10000	pleio	11	cons	p9	4819
10000	pleio	11	cons	p10	4820
10000	pleio	12	fluc	p1	4821
10000	pleio	12	fluc	p2	4822
10000	pleio	12	fluc	p3	4823
10000	pleio	12	fluc	p4	4824
10000	pleio	12	fluc	p5	4825
10000	pleio	12	cons	p6	4826
10000	pleio	12	cons	p7	4827
10000	pleio	12	cons	p8	4828
10000	pleio	12	cons	p9	4829
10000	pleio	12	cons	p10	4830
10000	pleio	13	fluc	p1	4831
10000	pleio	13	fluc	p2	4832
10000	pleio	13	fluc	p3	4833
10000	pleio	13	fluc	p4	4834
10000	pleio	13	fluc	p5	4835
10000	pleio	13	cons	p6	4836
10000	pleio	13	cons	p7	4837
10000	pleio	13	cons	p8	4838
10000	pleio	13	cons	p9	4839
10000	pleio	13	cons	p10	4840
10000	pleio	14	fluc	p1	4841
10000	pleio	14	fluc	p2	4842
10000	pleio	14	fluc	p3	4843
10000	pleio	14	fluc	p4	4844
10000	pleio	14	fluc	p5	4845
10000	pleio	14	cons	p6	4846
10000	pleio	14	cons	p7	4847
10000	pleio	14	cons	p8	4848
10000	pleio	14	cons	p9	4849
10000	pleio	14	cons	p10	4850
10000	pleio	15	fluc	p1	4851
10000	pleio	15	fluc	p2	4852
10000	pleio	15	fluc	p3	4853
10000	pleio	15	fluc	p4	4854
10000	pleio	15	fluc	p5	4855
10000	pleio	15	cons	p6	4856
10000	pleio	15	cons	p7	4857
10000	pleio	15	cons	p8	4858
10000	pleio	15	cons	p9	4859
10000	pleio	15	cons	p10	4860
10000	pleio	16	fluc	p1	4861
10000	pleio	16	fluc	p2	4862
10000	pleio	16	fluc	p3	4863
10000	pleio	16	fluc	p4	4864
10000	pleio	16	fluc	p5	4865
10000	pleio	16	cons	p6	4866
10000	pleio	16	cons	p7	4867
10000	pleio	16	cons	p8	4868
10000	pleio	16	cons	p9	4869
10000	pleio	16	cons	p10	4870
10000	pleio	17	fluc	p1	4871
10000	pleio	17	fluc	p2	4872
10000	pleio	17	fluc	p3	4873
10000	pleio	17	fluc	p4	4874
10000	pleio	17	fluc	p5	4875
10000	pleio	17	cons	p6	4876
10000	pleio	17	cons	p7	4877
10000	pleio	17	cons	p8	4878
10000	pleio	17	cons	p9	4879
10000	pleio	17	cons	p10	4880
10000	pleio	18	fluc	p1	4881
10000	pleio	18	fluc	p2	4882
10000	pleio	18	fluc	p3	4883
10000	pleio	18	fluc	p4	4884
10000	pleio	18	fluc	p5	4885
10000	pleio	18	cons	p6	4886
10000	pleio	18	cons	p7	4887
10000	pleio	18	cons	p8	4888
10000	pleio	18	cons	p9	4889
10000	pleio	18	cons	p10	4890
10000	pleio	19	fluc	p1	4891
10000	pleio	19	fluc	p2	4892
10000	pleio	19	fluc	p3	4893
10000	pleio	19	fluc	p4	4894
10000	pleio	19	fluc	p5	4895
10000	pleio	19	cons	p6	4896
10000	pleio	19	cons	p7	4897
10000	pleio	19	cons	p8	4898
10000	pleio	19	cons	p9	4899
10000	pleio	19	cons	p10	4900
10000	pleio	20	fluc	p1	4901
10000	pleio	20	fluc	p2	4902
10000	pleio	20	fluc	p3	4903
10000	pleio	20	fluc	p4	4904
10000	pleio	20	fluc	p5	4905
10000	pleio	20	cons	p6	4906
10000	pleio	20	cons	p7	4907
10000	pleio	20	cons	p8	4908
10000	pleio	20	cons	p9	4909
10000	pleio	20	cons	p10	4910
10000	pleio	21	fluc	p1	4911
10000	pleio	21	fluc	p2	4912
10000	pleio	21	fluc	p3	4913
10000	pleio	21	fluc	p4	4914
10000	pleio	21	fluc	p5	4915
10000	pleio	21	cons	p6	4916
10000	pleio	21	cons	p7	4917
10000	pleio	21	cons	p8	4918
10000	pleio	21	cons	p9	4919
10000	pleio	21	cons	p10	4920
10000	pleio	22	fluc	p1	4921
10000	pleio	22	fluc	p2	4922
10000	pleio	22	fluc	p3	4923
10000	pleio	22	fluc	p4	4924
10000	pleio	22	fluc	p5	4925
10000	pleio	22	cons	p6	4926
10000	pleio	22	cons	p7	4927
10000	pleio	22	cons	p8	4928
10000	pleio	22	cons	p9	4929
10000	pleio	22	cons	p10	4930
10000	pleio	23	fluc	p1	4931
10000	pleio	23	fluc	p2	4932
10000	pleio	23	fluc	p3	4933
10000	pleio	23	fluc	p4	4934
10000	pleio	23	fluc	p5	4935
10000	pleio	23	cons	p6	4936
10000	pleio	23	cons	p7	4937
10000	pleio	23	cons	p8	4938
10000	pleio	23	cons	p9	4939
10000	pleio	23	cons	p10	4940
10000	pleio	24	fluc	p1	4941
10000	pleio	24	fluc	p2	4942
10000	pleio	24	fluc	p3	4943
10000	pleio	24	fluc	p4	4944
10000	pleio	24	fluc	p5	4945
10000	pleio	24	cons	p6	4946
10000	pleio	24	cons	p7	4947
10000	pleio	24	cons	p8	4948
10000	pleio	24	cons	p9	4949
10000	pleio	24	cons	p10	4950
10000	pleio	25	fluc	p1	4951
10000	pleio	25	fluc	p2	4952
10000	pleio	25	fluc	p3	4953
10000	pleio	25	fluc	p4	4954
10000	pleio	25	fluc	p5	4955
10000	pleio	25	cons	p6	4956
10000	pleio	25	cons	p7	4957
10000	pleio	25	cons	p8	4958
10000	pleio	25	cons	p9	4959
10000	pleio	25	cons	p10	4960
10000	pleio	26	fluc	p1	4961
10000	pleio	26	fluc	p2	4962
10000	pleio	26	fluc	p3	4963
10000	pleio	26	fluc	p4	4964
10000	pleio	26	fluc	p5	4965
10000	pleio	26	cons	p6	4966
10000	pleio	26	cons	p7	4967
10000	pleio	26	cons	p8	4968
10000	pleio	26	cons	p9	4969
10000	pleio	26	cons	p10	4970
10000	pleio	27	fluc	p1	4971
10000	pleio	27	fluc	p2	4972
10000	pleio	27	fluc	p3	4973
10000	pleio	27	fluc	p4	4974
10000	pleio	27	fluc	p5	4975
10000	pleio	27	cons	p6	4976
10000	pleio	27	cons	p7	4977
10000	pleio	27	cons	p8	4978
10000	pleio	27	cons	p9	4979
10000	pleio	27	cons	p10	4980
10000	pleio	28	fluc	p1	4981
10000	pleio	28	fluc	p2	4982
10000	pleio	28	fluc	p3	4983
10000	pleio	28	fluc	p4	4984
10000	pleio	28	fluc	p5	4985
10000	pleio	28	cons	p6	4986
10000	pleio	28	cons	p7	4987
10000	pleio	28	cons	p8	4988
10000	pleio	28	cons	p9	4989
10000	pleio	28	cons	p10	4990
10000	pleio	29	fluc	p1	4991
10000	pleio	29	fluc	p2	4992
10000	pleio	29	fluc	p3	4993
